Brand,Operating System,Processor,RAM Type,RAM Size,Disc Type,Disc Size,Price
DELL,Windows 11,AMD Ryzen R5-5600H,DDR4,16 GB,SSD,512 GB,70990
ASUS,Windows 11,AMD Ryzen 9 Octa Core,DDR5,16 GB,SSD,1 TB,194990
Lenovo,Windows 11,AMD Ryzen 5 Hexa Core,DDR4,8 GB,SSD,512 GB,44990
Infinix,Windows 11,Intel Celeron Quad Core,LPDDR4X,8 GB,SSD,256 GB,22990
HP,Windows 11,AMD Ryzen 5 Hexa Core,DDR4,8 GB,SSD,512 GB,46990
ASUS,MAC ,Intel Core i5,DDR4,8 GB,HDD,1 TB,50990
Infinix,Windows 11,Intel Core i3,LPDDR4X,8 GB,SSD,256 GB,28990
RedmiBook,MAC ,Intel Core i5,DDR4,8 GB,SSD,512 GB,39990
Lenovo,Windows 11,AMD Ryzen 5 Quad Core,DDR4,8 GB,SSD,512 GB,38705
MSI,Windows 10,Intel Core i7,DDR4,16 GB,SSD,512 GB,84990
APPLE,MAC ,Apple M1 Pro,Unified Memory,16 GB,SSD,512 GB,181990
ASUS,MAC ,AMD Ryzen 9 Octa Core,DDR5,16 GB,SSD,1 TB,196990
ASUS,MAC ,AMD Ryzen 7 Octa Core,DDR4,16 GB,SSD,1 TB,85990
MSI,Windows 11,AMD Ryzen 9 Octa Core,DDR4,16 GB,SSD,1 TB,109990
SAMSUNG,MAC ,Qualcomm Snapdragon 7c Gen 2,LPDDR4X,4 GB,EMMC,128 GB,32990
Infinix,Windows 11,Intel Core i5,LPDDR4X,16 GB,SSD,512 GB,37990
APPLE,MAC ,Apple M2,Unified Memory,8 GB,SSD,512 GB,139990
Lenovo,Windows 11,AMD Ryzen 3 Dual Core,DDR4,8 GB,SSD,512 GB,35590
ASUS,MAC ,AMD Ryzen 9 Octa Core,DDR4,16 GB,SSD,1 TB,150990
Lenovo,Windows 11,Intel Core i3,DDR4,4 GB,SSD,256 GB,29990
Lenovo,MAC ,Intel Celeron Dual Core,DDR4,4 GB,EMMC,64 GB,19490
Lenovo,Windows 11,Intel Core i3,DDR4,8 GB,SSD,256 GB,36990
Lenovo,Windows 11,AMD Ryzen 7 Octa Core,DDR4,8 GB,SSD,512 GB,73490
ASUS,Windows 11,AMD Ryzen 5 Hexa Core,DDR4,8 GB,HDD,1 TB,52990
HP,Windows 11,Intel Core i3,DDR4,8 GB,SSD,512 GB,41890
DELL,Windows 11,Intel PQC-N5030,DDR4,8 GB,SSD,256 GB,30428
Acer,Windows 11,Intel Core i3,DDR4,8 GB,SSD,512 GB,34990
Lenovo,MAC ,Intel Celeron Dual Core,DDR4,4 GB,EMMC,64 GB,19490
Lenovo,Windows 11,Intel Core i3,DDR4,4 GB,SSD,256 GB,29990
APPLE,MAC ,Apple M1,DDR4,8 GB,SSD,256 GB,88990
Lenovo,Windows 11,Intel Core i3,DDR4,8 GB,SSD,256 GB,36990
MSI,Windows 10,Intel Core i7,DDR4,8 GB,SSD,512 GB,65990
ASUS,Windows 11,Intel Core i3,DDR4,8 GB,SSD,512 GB,33490
HP,Windows 11,Intel Core i5,DDR4,16 GB,SSD,512 GB,60990
Lenovo,Windows 11,Intel Core i3,DDR4,8 GB,SSD,512 GB,39990
HP,Windows 11,AMD Ryzen 5 Hexa Core,DDR4,8 GB,SSD,512 GB,46990
ASUS,Windows 11,AMD Ryzen 7 Octa Core,DDR4,16 GB,SSD,512 GB,59990
MSI,Windows 10,Intel Core i7,DDR4,16 GB,SSD,1 TB,114990
RedmiBook,MAC ,Intel Core i5,DDR4,8 GB,SSD,512 GB,39990
ASUS,MAC ,Intel Core i7,DDR4,16 GB,SSD,1 TB,119990
Infinix,Windows 11,Intel Core i5,LPDDR4X,8 GB,SSD,512 GB,42990
ASUS,Windows 11,Intel Core i5,LPDDR5,16 GB,SSD,512 GB,89990
Lenovo,Windows 11,AMD Ryzen 5 Quad Core,DDR4,8 GB,SSD,512 GB,38705
MSI,Windows 11,AMD Ryzen 7 Octa Core,DDR4,8 GB,SSD,512 GB,79990
ASUS,MAC ,Intel Core i5,DDR4,8 GB,SSD,1 TB,70990
Lenovo,MAC ,Intel Core i3,DDR4,8 GB,SSD,256 GB,33900
ASUS,MAC ,AMD Ryzen 9 Octa Core,DDR5,16 GB,SSD,1 TB,196990
